,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-08-24 09:00:00.000,0.00005300,0.00008276,0.00005112,0.00005306,12598598.00000000,2019-08-25 08:59:59.999,824.98538374,42045,5571819.00000000,364.44165124,0
1,2019-08-25 09:00:00.000,0.00005303,0.00007346,0.00004958,0.00006944,19348489.00000000,2019-08-26 08:59:59.999,1265.18273861,65905,8991244.00000000,589.82772592,0
2,2019-08-26 09:00:00.000,0.00006944,0.00007286,0.00005900,0.00005913,9316676.00000000,2019-08-27 08:59:59.999,609.63609333,40163,3697495.00000000,243.13787687,0
3,2019-08-27 09:00:00.000,0.00005913,0.00006328,0.00005467,0.00005591,3738549.00000000,2019-08-28 08:59:59.999,216.12569211,17307,1579410.00000000,91.56653703,0
4,2019-08-28 09:00:00.000,0.00005591,0.00005860,0.00004972,0.00005008,2163723.00000000,2019-08-29 08:59:59.999,116.92034317,9885,851442.00000000,46.05582754,0
5,2019-08-29 09:00:00.000,0.00005012,0.00005333,0.00004842,0.00004984,1429633.00000000,2019-08-30 08:59:59.999,72.12580800,10545,628573.00000000,31.82117016,0
6,2019-08-30 09:00:00.000,0.00004979,0.00005666,0.00004950,0.00005023,2709339.00000000,2019-08-31 08:59:59.999,144.87951957,13657,1221675.00000000,65.56306964,0
7,2019-08-31 09:00:00.000,0.00005026,0.00005098,0.00004882,0.00004918,638571.00000000,2019-09-01 08:59:59.999,31.82130845,4230,254075.00000000,12.68862210,0
8,2019-09-01 09:00:00.000,0.00004944,0.00005339,0.00004771,0.00004920,881379.00000000,2019-09-02 08:59:59.999,44.44037191,4778,416843.00000000,21.02880165,0
9,2019-09-02 09:00:00.000,0.00004888,0.00004995,0.00004400,0.00004473,697388.00000000,2019-09-03 08:59:59.999,32.57797086,3386,310362.00000000,14.51763989,0
10,2019-09-03 09:00:00.000,0.00004473,0.00004514,0.00004094,0.00004293,827701.00000000,2019-09-04 08:59:59.999,35.25875893,4217,293730.00000000,12.61363829,0
11,2019-09-04 09:00:00.000,0.00004294,0.00004830,0.00004081,0.00004147,1365490.00000000,2019-09-05 08:59:59.999,60.13010283,6209,604943.00000000,26.67506048,0
12,2019-09-05 09:00:00.000,0.00004147,0.00004510,0.00004072,0.00004131,633067.00000000,2019-09-06 08:59:59.999,26.85170803,3559,288140.00000000,12.21714330,0
13,2019-09-06 09:00:00.000,0.00004132,0.00004152,0.00003724,0.00003890,628148.00000000,2019-09-07 08:59:59.999,24.81085052,2687,247921.00000000,9.76204216,0
14,2019-09-07 09:00:00.000,0.00003893,0.00004200,0.00003784,0.00003934,781877.00000000,2019-09-08 08:59:59.999,30.99902695,3904,391189.00000000,15.55555726,0
15,2019-09-08 09:00:00.000,0.00003925,0.00004379,0.00003896,0.00004173,574669.00000000,2019-09-09 08:59:59.999,23.87423134,2476,288256.00000000,12.01306629,0
16,2019-09-09 09:00:00.000,0.00004167,0.00004340,0.00003943,0.00003967,699229.00000000,2019-09-10 08:59:59.999,28.72359463,3331,282175.00000000,11.59128508,0
17,2019-09-10 09:00:00.000,0.00003967,0.00004125,0.00003896,0.00004036,579928.00000000,2019-09-11 08:59:59.999,23.32456410,2842,261270.00000000,10.49979467,0
